
[2020-05-12T13:23:13.498924100=LottoResultStore{typesStore=[33, 2, 11, 33, 41, 2], resultStore=[21, 11, 38, 2, 30, 41], result=3}]
[2020-05-12T13:23:13.498924100=LottoResultStore{typesStore=[33, 2, 11, 33, 41, 2], resultStore=[4, 36, 2, 3, 23, 44], result=1}]
[2020-05-12T13:23:13.498924100=LottoResultStore{typesStore=[33, 2, 11, 33, 41, 2], resultStore=[13, 6, 12, 44, 44, 35], result=0}]
[2020-05-12T13:25:27.000542600=LottoResultStore{typesStore=[33, 2, 11, 33, 41, 2], resultStore=[4, 22, 44, 36, 34, 48], result=0}]
[2020-05-12T13:25:27.000542600=LottoResultStore{typesStore=[33, 2, 11, 33, 41, 2], resultStore=[32, 29, 34, 21, 19, 5], result=0}]
[2020-05-12T13:25:27.000542600=LottoResultStore{typesStore=[33, 2, 11, 33, 41, 2], resultStore=[39, 24, 31, 3, 38, 47], result=0}]
[2020-05-12T13:26:41.902520600=LottoResultStore{typesStore=[33, 2, 11, 33, 41, 2], resultStore=[4, 6, 28, 21, 30, 10], result=0}]
[2020-05-12T13:26:41.902520600=LottoResultStore{typesStore=[33, 2, 11, 33, 41, 2], resultStore=[19, 16, 40, 25, 14, 15], result=0}]
[2020-05-12T13:26:41.902520600=LottoResultStore{typesStore=[33, 2, 11, 33, 41, 2], resultStore=[40, 36, 31, 13, 45, 35], result=0}]
[2020-05-12T13:26:41.902520600=LottoResultStore{typesStore=[33, 2, 11, 33, 41, 2], resultStore=[30, 13, 36, 5, 46, 22], result=0}]
[2020-05-15T19:51:25.276768100=LottoResultStore{typesStore=[33, 2, 11, 33, 41, 2], resultStore=[23, 9, 12, 20, 15, 38], result=0}]
[2020-05-15T19:51:25.276768100=LottoResultStore{typesStore=[33, 2, 11, 33, 41, 2], resultStore=[25, 20, 12, 22, 6, 28], result=0}]
[2020-05-15T19:51:25.276768100=LottoResultStore{typesStore=[11, 33, 11, 5, 2, 1], resultStore=[18, 7, 34, 30, 8, 38], result=0}]
[2020-05-25T12:35:36.003294=LottoResultStore{typesStore=[33, 2, 11, 33, 41, 2], resultStore=[9, 23, 45, 43, 11, 41], result=2}]
[2020-05-25T12:35:36.003294=LottoResultStore{typesStore=[33, 2, 11, 33, 41, 2], resultStore=[13, 46, 7, 47, 43, 31], result=0}]
[2020-05-25T12:35:36.003294=LottoResultStore{typesStore=[33, 2, 11, 33, 41, 2], resultStore=[8, 22, 44, 31, 41, 47], result=1}]
[2020-05-25T12:35:36.003294=LottoResultStore{typesStore=[33, 2, 11, 33, 41, 2], resultStore=[33, 26, 35, 45, 47, 17], result=1}]
[2020-05-25T12:35:36.003294=LottoResultStore{typesStore=[33, 2, 11, 33, 41, 2], resultStore=[5, 43, 30, 14, 23, 38], result=0}]
[2020-05-25T12:35:36.003294=LottoResultStore{typesStore=[33, 2, 11, 33, 41, 2], resultStore=[32, 31, 28, 12, 22, 26], result=0}]
[2020-05-25T12:35:36.003294=LottoResultStore{typesStore=[33, 2, 11, 33, 41, 2], resultStore=[32, 29, 19, 23, 17, 20], result=0}]
[2020-05-25T12:35:36.003294=LottoResultStore{typesStore=[33, 2, 11, 33, 41, 2], resultStore=[27, 24, 32, 3, 6, 39], result=0}]
[2020-05-25T12:35:36.003294=LottoResultStore{typesStore=[33, 2, 11, 33, 41, 2], resultStore=[39, 28, 19, 45, 34, 23], result=0}]
[2020-05-25T12:35:36.003294=LottoResultStore{typesStore=[33, 2, 11, 33, 41, 2], resultStore=[40, 11, 29, 5, 1, 39], result=1}]
[2020-05-25T12:35:36.003294=LottoResultStore{typesStore=[33, 2, 11, 33, 41, 2], resultStore=[32, 44, 26, 24, 9, 26], result=0}]
[2020-05-25T12:47:05.899909800=LottoResultStore{typesStore=[33, 2, 11, 33, 41, 2], resultStore=[40, 15, 44, 28, 31, 38], result=0}]
[2020-05-25T12:47:05.899909800=LottoResultStore{typesStore=[33, 2, 11, 33, 41, 2], resultStore=[3, 32, 27, 39, 44, 28], result=0}]
[2020-05-25T12:47:05.899909800=LottoResultStore{typesStore=[33, 2, 11, 33, 41, 2], resultStore=[42, 32, 42, 17, 5, 12], result=0}]
[2020-05-25T12:47:05.899909800=LottoResultStore{typesStore=[33, 2, 11, 33, 41, 2], resultStore=[37, 42, 44, 16, 17, 3], result=0}]
[2020-05-25T12:47:05.899909800=LottoResultStore{typesStore=[33, 2, 11, 33, 41, 2], resultStore=[10, 25, 18, 42, 9, 28], result=0}]
[2020-05-25T12:47:05.899909800=LottoResultStore{typesStore=[33, 2, 11, 33, 41, 2], resultStore=[47, 31, 40, 24, 46, 30], result=0}]
[2020-05-25T12:47:05.899909800=LottoResultStore{typesStore=[33, 2, 11, 33, 41, 2], resultStore=[43, 45, 34, 8, 35, 24], result=0}]
[2020-05-25T12:47:05.899909800=LottoResultStore{typesStore=[33, 1, 7, 9, 39, 11], resultStore=[20, 5, 27, 13, 12, 4], result=0}]
[2020-05-29T16:59:18.844605100=LottoResultStore{typesStore=[33, 2, 11, 33, 41, 2], resultStore=[36, 11, 12, 17, 20, 6], result=1}]
[2020-05-29T16:59:18.844605100=LottoResultStore{typesStore=[33, 2, 11, 33, 41, 2], resultStore=[38, 1, 46, 6, 15, 36], result=0}]
[2020-05-29T16:59:18.844605100=LottoResultStore{typesStore=[33, 2, 11, 33, 41, 2], resultStore=[47, 4, 5, 36, 9, 43], result=0}]
[2020-05-29T17:08:04.528078=LottoResultStore{typesStore=[33, 2, 11, 33, 41, 2], resultStore=[20, 13, 19, 46, 45, 9], result=0}]
[2020-05-29T17:08:04.528078=LottoResultStore{typesStore=[33, 2, 11, 33, 41, 2], resultStore=[36, 33, 26, 12, 46, 44], result=1}]
[2020-05-29T17:08:04.528078=LottoResultStore{typesStore=[33, 2, 11, 33, 41, 2], resultStore=[35, 41, 18, 32, 23, 20], result=1}]
[2020-05-29T17:08:04.528078=LottoResultStore{typesStore=[33, 2, 11, 33, 41, 2], resultStore=[28, 11, 6, 15, 12, 4], result=1}]
[2020-05-29T17:08:04.528078=LottoResultStore{typesStore=[33, 2, 11, 33, 41, 2], resultStore=[34, 32, 10, 8, 6, 26], result=0}]
[2020-05-29T17:08:04.528078=LottoResultStore{typesStore=[33, 2, 11, 33, 41, 2], resultStore=[26, 38, 7, 46, 9, 9], result=0}]
[2020-05-29T17:39:31.707928100=LottoResultStore{typesStore=[33, 2, 11, 33, 41, 2], resultStore=[39, 47, 38, 35, 21, 34], result=0}]
[2020-05-29T17:39:31.707928100=LottoResultStore{typesStore=[33, 2, 11, 33, 41, 2], resultStore=[28, 48, 41, 20, 14, 9], result=1}]
[2020-05-29T18:28:57.066743400=LottoResultStore{typesStore=[33, 2, 11, 33, 41, 2], resultStore=[4, 31, 3, 37, 13, 1], result=0}]
[2020-05-29T18:28:57.066743400=LottoResultStore{typesStore=[33, 2, 11, 33, 41, 2], resultStore=[4, 5, 32, 17, 43, 27], result=0}]
[2020-05-29T18:28:57.066743400=LottoResultStore{typesStore=[33, 2, 11, 33, 41, 2], resultStore=[32, 16, 48, 21, 46, 22], result=0}]
[2020-05-29T18:28:57.066743400=LottoResultStore{typesStore=[33, 2, 11, 33, 41, 2], resultStore=[27, 41, 26, 42, 21, 7], result=1}]
[2020-05-29T18:29:35.364889800=LottoResultStore{typesStore=[33, 2, 11, 33, 41, 2], resultStore=[19, 14, 28, 12, 3, 26], result=0}]
[2020-05-29T19:37:28.276365300=LottoResultStore{typesStore=[33, 2, 11, 33, 41, 2], resultStore=[33, 24, 2, 5, 14, 35], result=2}]
[2020-05-29T19:40:03.550124700=LottoResultStore{typesStore=[33, 2, 11, 33, 41, 2], resultStore=[37, 48, 7, 6, 34, 12], result=0}]
[2020-05-29T19:40:03.550124700=LottoResultStore{typesStore=[33, 2, 11, 33, 41, 2], resultStore=[21, 29, 27, 3, 2, 18], result=1}]
[2020-05-29T19:40:03.550124700=LottoResultStore{typesStore=[33, 2, 11, 33, 41, 2], resultStore=[47, 38, 37, 16, 37, 41], result=1}]
[2020-05-29T19:40:03.550124700=LottoResultStore{typesStore=[33, 2, 11, 33, 41, 2], resultStore=[23, 43, 37, 23, 30, 7], result=0}]
[2020-05-29T19:40:03.550124700=LottoResultStore{typesStore=[33, 2, 11, 33, 41, 2], resultStore=[18, 31, 16, 24, 1, 13], result=0}]
[2020-05-29T19:44:33.018190900=LottoResultStore{typesStore=[33, 2, 11, 33, 41, 2], resultStore=[1, 42, 7, 12, 17, 32], result=0}]
[2020-05-29T19:44:33.018190900=LottoResultStore{typesStore=[33, 2, 11, 33, 41, 2], resultStore=[28, 44, 39, 15, 4, 26], result=0}]
[2020-05-29T19:44:33.018190900=LottoResultStore{typesStore=[33, 2, 11, 33, 41, 2], resultStore=[12, 30, 32, 34, 47, 41], result=1}]
